########################Details##############################
11,Брусок,100
12,Гвоздь,15
13,Болт,20
14,Гайка,15
15,Железная пластина,120
16,Корпус механизма,300
17,Лампочка,150
18,Плата,1000
19,Процессор,1300
110,Системный блок,500
111,Жесткий диск,900
112,Железная балка,200
113,Зубило,100
114,фцвцфвцф,111

########################Equipment############################
1,Компьютер,Жесткий диск,1,Системный блок,1
2,Стул,Брусок,2,Гвоздь,6
3,Стол,Брусок,6,Гвоздь,4
4,Лампа,Железная балка,1,Железная пластина,3
5,Люк,Железная пластина,15
6,Ящик,Брусок,100,Гвозди,230
7,пукпукпукпу,Болт,1,Брусок,6,Гайка,1
